자전거번호,등록일시,고장구분
SPB-31190,2022-01-03 8:36,안장
SPB-31190,2022-01-03 8:36,기타 
SPB-37032,2022-01-03 8:37,안장
SPB-31890,2022-01-03 8:38,기타 
SPB-40276,2022-01-03 8:38,기타 
SPB-53145,2022-01-03 8:41,체인
SPB-42366,2022-01-03 8:42,기타 
SPB-47103,2022-01-03 8:43,안장
SPB-47103,2022-01-03 8:43,기타 
SPB-39726,2022-01-03 8:44,체인
SPB-31103,2022-01-03 8:46,체인
SPB-30248,2022-01-03 8:49,체인
SPB-47143,2022-01-03 8:50,체인
SPB-30562,2022-01-03 8:52,타이어 
SPB-30287,2022-01-03 8:52,타이어 
SPB-44943,2022-01-03 8:53,기타 
SPB-33794,2022-01-03 8:53,기타 
SPB-45960,2022-01-03 8:53,기타 
SPB-53178,2022-01-03 8:55,단말기
SPB-48665,2022-01-03 8:56,단말기
SPB-48665,2022-01-03 8:56,기타 
SPB-44147,2022-01-03 8:56,체인
SPB-46772,2022-01-03 8:56,기타 
SPB-33545,2022-01-03 8:57,기타 
SPB-31961,2022-01-03 8:57,기타 
SPB-52459,2022-01-03 8:57,기타 
SPB-33074,2022-01-03 8:58,기타 
SPB-40272,2022-01-03 8:59,기타 
SPB-35610,2022-01-03 9:00,기타 
SPB-42728,2022-01-03 9:01,기타 
SPB-33435,2022-01-03 9:01,기타 
SPB-36293,2022-01-03 9:02,기타 
SPB-39014,2022-01-03 9:04,체인
SPB-39014,2022-01-03 9:04,페달
SPB-33302,2022-01-03 9:05,기타 
SPB-38179,2022-01-03 9:06,타이어 
SPB-31862,2022-01-03 9:06,기타 
SPB-39376,2022-01-03 9:09,기타 
SPB-31822,2022-01-03 9:10,기타 
SPB-30160,2022-01-03 9:14,체인
SPB-34472,2022-01-03 9:21,기타 
SPB-32141,2022-01-03 9:23,기타 
SPB-44958,2022-01-03 9:34,기타 
SPB-48318,2022-01-03 9:40,안장
SPB-52165,2022-01-03 9:45,체인
SPB-81091,2022-01-03 9:46,타이어 
SPB-81091,2022-01-03 9:46,체인
SPB-36085,2022-01-03 10:03,기타 
SPB-41584,2022-01-03 10:03,안장
SPB-30251,2022-01-03 10:10,페달
SPB-30251,2022-01-03 10:10,기타 
SPB-33945,2022-01-03 10:15,기타 
SPB-51806,2022-01-03 10:20,타이어 
SPB-30302,2022-01-03 10:21,기타 
SPB-55155,2022-01-03 10:21,기타 
SPB-54812,2022-01-03 10:26,타이어 
SPB-53780,2022-01-03 10:29,기타 
SPB-58649,2022-01-03 10:36,타이어 
SPB-54810,2022-01-03 10:36,체인
SPB-83499,2022-01-03 10:37,타이어 
SPB-83499,2022-01-03 10:37,체인
SPB-83499,2022-01-03 10:37,페달
SPB-53494,2022-01-03 10:38,기타 
SPB-37597,2022-01-03 10:41,기타 
SPB-31820,2022-01-03 10:49,안장
SPB-31820,2022-01-03 10:49,기타 
SPB-35473,2022-01-03 10:59,기타 
SPB-37394,2022-01-03 11:18,타이어 
SPB-35105,2022-01-03 11:18,체인
SPB-42546,2022-01-03 11:25,기타 
SPB-38816,2022-01-03 11:26,기타 
SPB-39997,2022-01-03 11:32,체인
SPB-44050,2022-01-03 11:49,안장
SPB-51007,2022-01-03 11:51,안장
SPB-45374,2022-01-03 11:51,기타 
SPB-50521,2022-01-03 11:53,기타 
SPB-32562,2022-01-03 11:56,기타 
SPB-35723,2022-01-03 11:57,체인
SPB-35723,2022-01-03 11:57,기타 
SPB-53289,2022-01-03 11:59,기타 
SPB-30598,2022-01-03 12:19,기타 
SPB-51055,2022-01-03 12:27,기타 
SPB-55912,2022-01-03 12:29,체인
SPB-54696,2022-01-03 12:32,기타 
SPB-46048,2022-01-03 12:34,기타 
SPB-42377,2022-01-03 12:35,기타 
SPB-57678,2022-01-03 12:35,체인
SPB-48961,2022-01-03 12:36,안장
SPB-50780,2022-01-03 12:43,안장
SPB-41402,2022-01-03 12:45,타이어 
SPB-48331,2022-01-03 12:49,기타 
SPB-50761,2022-01-03 12:50,체인
SPB-46147,2022-01-03 12:53,타이어 
SPB-46147,2022-01-03 12:53,체인
SPB-46147,2022-01-03 12:53,페달
SPB-51399,2022-01-03 13:01,체인
SPB-51399,2022-01-03 13:01,기타 
SPB-43442,2022-01-03 13:04,기타 
SPB-30869,2022-01-03 13:28,단말기
SPB-31492,2022-01-03 13:35,기타 
SPB-39872,2022-01-03 13:43,안장
SPB-39872,2022-01-03 13:43,기타 
SPB-47208,2022-01-03 13:46,체인
SPB-39711,2022-01-03 13:50,체인
SPB-55611,2022-01-03 13:58,타이어 
SPB-55611,2022-01-03 13:58,기타 
SPB-44768,2022-01-03 14:00,안장
SPB-42669,2022-01-03 14:07,타이어 
SPB-54322,2022-01-03 14:11,기타 
SPB-33962,2022-01-03 14:16,기타 
SPB-40070,2022-01-03 14:31,타이어 
SPB-40070,2022-01-03 14:31,기타 
SPB-57658,2022-01-03 14:36,단말기
SPB-31793,2022-01-03 14:58,기타 
SPB-34399,2022-01-03 14:59,안장
SPB-34137,2022-01-03 15:08,기타 
SPB-31399,2022-01-03 15:13,기타 
SPB-40565,2022-01-03 15:14,안장
SPB-44809,2022-01-03 15:15,타이어 
SPB-47457,2022-01-03 15:21,안장
SPB-53620,2022-01-03 15:22,타이어 
SPB-55269,2022-01-03 15:25,타이어 
SPB-55384,2022-01-03 15:33,기타 
SPB-51453,2022-01-03 15:41,타이어 
SPB-51453,2022-01-03 15:41,페달
SPB-49136,2022-01-03 15:47,타이어 
SPB-53608,2022-01-03 15:57,기타 
SPB-31800,2022-01-03 15:58,타이어 
SPB-51821,2022-01-03 16:06,체인
SPB-48381,2022-01-03 16:15,타이어 
SPB-48147,2022-01-03 16:16,안장
SPB-31896,2022-01-03 16:23,안장
SPB-57693,2022-01-03 16:37,안장
SPB-46888,2022-01-03 16:43,타이어 
SPB-44906,2022-01-03 16:47,기타 
SPB-32414,2022-01-03 16:47,기타 
SPB-42280,2022-01-03 16:51,체인
SPB-51748,2022-01-03 16:52,안장
SPB-38269,2022-01-03 16:54,단말기
SPB-52033,2022-01-03 16:58,체인
SPB-54217,2022-01-03 17:00,기타 
SPB-32382,2022-01-03 17:06,타이어 
SPB-32382,2022-01-03 17:06,체인
SPB-51615,2022-01-03 17:07,기타 
SPB-52422,2022-01-03 17:08,기타 
SPB-42006,2022-01-03 17:12,단말기
SPB-48561,2022-01-03 17:13,타이어 
SPB-54004,2022-01-03 17:15,기타 
SPB-56028,2022-01-03 17:17,안장
SPB-40659,2022-01-03 17:20,타이어 
SPB-52302,2022-01-03 17:20,안장
SPB-39904,2022-01-03 17:28,체인
SPB-30565,2022-01-03 17:29,기타 
SPB-58356,2022-01-03 17:32,타이어 
SPB-46656,2022-01-03 17:35,체인
SPB-46656,2022-01-03 17:35,안장
SPB-41105,2022-01-03 17:35,단말기
SPB-54721,2022-01-03 17:37,기타 
SPB-43712,2022-01-03 17:40,체인
SPB-54491,2022-01-03 18:07,기타 
SPB-36321,2022-01-03 18:07,페달
SPB-58772,2022-01-03 18:12,타이어 
SPB-30833,2022-01-03 18:20,타이어 
SPB-35003,2022-01-03 18:21,안장
SPB-33894,2022-01-03 18:21,페달
SPB-47845,2022-01-03 18:22,체인
SPB-47845,2022-01-03 18:22,기타 
SPB-35014,2022-01-03 18:24,타이어 
SPB-56466,2022-01-03 18:26,기타 
SPB-30113,2022-01-03 18:29,기타 
SPB-32314,2022-01-03 18:30,안장
SPB-30728,2022-01-03 18:31,타이어 
SPB-30728,2022-01-03 18:31,체인
SPB-30728,2022-01-03 18:31,안장
SPB-48591,2022-01-03 18:34,안장
SPB-46570,2022-01-03 18:38,단말기
SPB-55565,2022-01-03 18:39,기타 
SPB-43800,2022-01-03 18:41,기타 
SPB-55970,2022-01-03 18:47,기타 
SPB-38453,2022-01-03 18:48,안장
SPB-33309,2022-01-03 18:48,안장
SPB-37461,2022-01-03 18:50,타이어 
SPB-50754,2022-01-03 18:55,기타 
SPB-48590,2022-01-03 18:56,안장
SPB-52055,2022-01-03 19:07,기타 
SPB-31240,2022-01-03 19:07,체인
SPB-43065,2022-01-03 19:07,기타 
SPB-54199,2022-01-03 19:10,기타 
SPB-48224,2022-01-03 19:11,단말기
SPB-54361,2022-01-03 19:11,타이어 
SPB-32703,2022-01-03 19:12,기타 
SPB-32564,2022-01-03 19:12,안장
SPB-48022,2022-01-03 19:14,안장
SPB-58756,2022-01-03 19:16,체인
SPB-46643,2022-01-03 19:19,타이어 
SPB-50747,2022-01-03 19:20,체인
SPB-50545,2022-01-03 19:23,안장
SPB-48439,2022-01-03 19:24,타이어 
SPB-48439,2022-01-03 19:24,기타 
SPB-55641,2022-01-03 19:26,체인
SPB-37482,2022-01-03 19:32,타이어 
SPB-48005,2022-01-03 19:33,안장
SPB-48069,2022-01-03 19:35,기타 
SPB-40331,2022-01-03 19:38,타이어 
SPB-57605,2022-01-03 19:38,타이어 
SPB-44808,2022-01-03 19:40,안장
SPB-31082,2022-01-03 19:40,기타 
SPB-36314,2022-01-03 19:45,체인
SPB-36314,2022-01-03 19:45,페달
SPB-36314,2022-01-03 19:45,기타 
SPB-52379,2022-01-03 19:45,안장
SPB-38547,2022-01-03 19:51,안장
SPB-42446,2022-01-03 20:04,페달
SPB-42446,2022-01-03 20:04,기타 
SPB-30361,2022-01-03 20:11,기타 
SPB-57624,2022-01-03 20:11,기타 
SPB-39162,2022-01-03 20:17,안장
SPB-39149,2022-01-03 20:30,타이어 
SPB-41196,2022-01-03 20:30,안장
SPB-57951,2022-01-03 20:33,단말기
SPB-54743,2022-01-03 20:41,기타 
SPB-47735,2022-01-03 20:49,기타 
SPB-40777,2022-01-03 20:51,안장
SPB-37604,2022-01-03 21:14,타이어 
SPB-43629,2022-01-03 21:25,체인
SPB-32911,2022-01-03 21:37,체인
SPB-38908,2022-01-03 21:37,기타 
SPB-30236,2022-01-03 21:45,기타 
SPB-53609,2022-01-03 21:45,체인
SPB-53609,2022-01-03 21:45,기타 
SPB-54966,2022-01-03 22:03,기타 
SPB-43963,2022-01-03 22:14,안장
SPB-33204,2022-01-03 22:17,체인
SPB-57904,2022-01-03 22:17,기타 
SPB-47349,2022-01-03 23:05,기타 
SPB-48796,2022-01-03 23:11,기타 
SPB-50308,2022-01-04 0:54,타이어 
SPB-55651,2022-01-04 2:25,체인
SPB-46433,2022-01-04 4:27,기타 
SPB-57783,2022-01-04 4:48,기타 
SPB-53137,2022-01-04 6:25,타이어 
SPB-53137,2022-01-04 6:25,체인
SPB-39520,2022-01-04 6:42,체인
SPB-35598,2022-01-04 6:44,체인
SPB-34782,2022-01-04 6:45,기타 
SPB-38310,2022-01-04 6:45,타이어 
SPB-41853,2022-01-04 6:54,체인
SPB-51398,2022-01-04 7:26,타이어 
SPB-48558,2022-01-04 7:32,단말기
SPB-57974,2022-01-04 7:34,기타 
SPB-44035,2022-01-04 7:36,체인
SPB-43823,2022-01-04 7:38,체인
SPB-41826,2022-01-04 7:39,안장
SPB-53259,2022-01-04 7:41,기타 
SPB-45920,2022-01-04 7:41,안장
SPB-31403,2022-01-04 7:45,안장
SPB-51865,2022-01-04 7:56,체인
SPB-31215,2022-01-04 7:56,안장
SPB-31215,2022-01-04 7:56,기타 
SPB-55352,2022-01-04 7:57,기타 
SPB-43718,2022-01-04 7:57,체인
SPB-48658,2022-01-04 8:01,안장
SPB-48191,2022-01-04 8:01,기타 
SPB-42639,2022-01-04 8:08,기타 
SPB-43836,2022-01-04 8:13,체인
SPB-53263,2022-01-04 8:14,체인
SPB-53127,2022-01-04 8:17,기타 
SPB-41806,2022-01-04 8:17,기타 
SPB-30853,2022-01-04 8:18,기타 
SPB-33447,2022-01-04 8:19,체인
SPB-55532,2022-01-04 8:20,체인
SPB-31041,2022-01-04 8:25,타이어 
SPB-48653,2022-01-04 8:26,안장
SPB-55378,2022-01-04 8:26,기타 
SPB-55342,2022-01-04 8:28,기타 
SPB-41195,2022-01-04 8:29,안장
SPB-32630,2022-01-04 8:35,기타 
SPB-33246,2022-01-04 8:35,기타 
SPB-37800,2022-01-04 8:42,기타 
SPB-55702,2022-01-04 8:42,체인
SPB-55702,2022-01-04 8:42,페달
SPB-32420,2022-01-04 8:42,기타 
SPB-30102,2022-01-04 8:44,체인
SPB-55005,2022-01-04 8:44,기타 
SPB-45389,2022-01-04 8:45,안장
SPB-52956,2022-01-04 8:47,기타 
SPB-47496,2022-01-04 8:48,체인
SPB-47728,2022-01-04 8:49,안장
SPB-31004,2022-01-04 8:49,체인
SPB-31106,2022-01-04 8:50,기타 
SPB-38373,2022-01-04 8:52,체인
SPB-52589,2022-01-04 8:52,체인
SPB-52589,2022-01-04 8:52,페달
SPB-44587,2022-01-04 8:54,기타 
SPB-43393,2022-01-04 8:54,기타 
SPB-41758,2022-01-04 8:55,기타 
SPB-34182,2022-01-04 8:56,체인
SPB-31462,2022-01-04 8:56,안장
SPB-52030,2022-01-04 8:58,기타 
SPB-31475,2022-01-04 8:58,체인
SPB-51430,2022-01-04 8:59,기타 
SPB-53924,2022-01-04 9:00,기타 
SPB-42037,2022-01-04 9:08,단말기
SPB-52298,2022-01-04 9:09,체인
SPB-50574,2022-01-04 9:13,체인
SPB-50574,2022-01-04 9:13,안장
SPB-30928,2022-01-04 9:14,기타 
SPB-40235,2022-01-04 9:15,체인
SPB-53579,2022-01-04 9:15,체인
SPB-53579,2022-01-04 9:15,기타 
SPB-40532,2022-01-04 9:19,안장
SPB-45314,2022-01-04 9:27,단말기
SPB-50160,2022-01-04 9:28,단말기
SPB-31111,2022-01-04 9:32,타이어 
SPB-31111,2022-01-04 9:32,기타 
SPB-53088,2022-01-04 9:43,체인
SPB-52300,2022-01-04 9:44,기타 
SPB-33463,2022-01-04 9:48,기타 
SPB-34386,2022-01-04 9:52,기타 
SPB-42262,2022-01-04 9:52,체인
SPB-42262,2022-01-04 9:52,페달
SPB-42504,2022-01-04 9:56,기타 
SPB-54664,2022-01-04 10:14,기타 
SPB-32540,2022-01-04 10:15,페달
SPB-39955,2022-01-04 10:15,타이어 
SPB-52080,2022-01-04 10:29,단말기
SPB-48421,2022-01-04 10:32,안장
SPB-32680,2022-01-04 10:34,페달
SPB-31932,2022-01-04 10:39,체인
SPB-34291,2022-01-04 10:46,안장
